"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Amsterdam";"Amsterdam                               ";"GM0363    ";365670;46,5;38,6;40,1;49,6;17,9;9,7;18,4
"Haarlemmerbuurt";"Amsterdam                               ";"WK0363AA  ";4960;51,7;45,4;45,1;48,9;19;9,7;18,3
"Planciusbuurt-Noord";"Amsterdam                               ";"BU0363AA01";;;;;57,8;6;11,9;20,8
"Westelijke eilanden";"Amsterdam                               ";"BU0363AA02";1530;;41,7;;52,2;18,7;9,6;18
"Westerdokseiland";"Amsterdam                               ";"BU0363AA03";970;;;;31,6;32,4;6,6;14,8
"Planciusbuurt-Zuid";"Amsterdam                               ";"BU0363AA04";;;;;75,2;2,6;22,7;36,4
"Haarlemmerbuurt-West";"Amsterdam                               ";"BU0363AA05";1240;;;;51,7;16;11,5;21
"Haarlemmerbuurt-Oost";"Amsterdam                               ";"BU0363AA06";940;;;;50,7;16;8;15,4
"Jordaan";"Amsterdam                               ";"WK0363AB  ";10240;49,8;44,4;40,7;55,2;15,1;11;19,7
"Marnixbuurt-Noord";"Amsterdam                               ";"BU0363AB01";500;;;;59,6;13,4;11,1;23,3
"Driehoekbuurt";"Amsterdam                               ";"BU0363AB02";1540;;43;;56,2;13,8;11,9;20,3
"Anjeliersbuurt-Noord";"Amsterdam                               ";"BU0363AB03";1090;;;;51,5;17,2;9,8;17,3
"Zaagpoortbuurt";"Amsterdam                               ";"BU0363AB04";;;;;72,1;6,1;17,1;28,1
"Anjeliersbuurt-Zuid";"Amsterdam                               ";"BU0363AB05";1400;47,4;42,4;;55,9;14,7;10,6;20,4
"Marnixbuurt-Midden";"Amsterdam                               ";"BU0363AB06";;;;;39,5;27,4;4,4;7
"Bloemgrachtbuurt";"Amsterdam                               ";"BU0363AB07";1650;54,2;47,5;;49,7;18,1;9,7;16,7
"Groenmarktkadebuurt";"Amsterdam                               ";"BU0363AB08";;;;;44,7;23,3;5,5;10,4
"Marnixbuurt-Zuid";"Amsterdam                               ";"BU0363AB09";;;;;59,3;10,8;12,3;18,7
"Elandsgrachtbuurt";"Amsterdam                               ";"BU0363AB10";2320;50,1;44,6;44;55,8;15;10,7;19,9
"Passeerdersgrachtbuurt";"Amsterdam                               ";"BU0363AB11";510;;;;49,7;17,8;12,3;20,2
"Grachtengordel-West";"Amsterdam                               ";"WK0363AC  ";4040;74,9;64,9;70,1;41,1;28,6;8,4;10,9
"Langestraat e.o.";"Amsterdam                               ";"BU0363AC01";990;;;;38,7;29,6;7,9;10,6
"Leliegracht e.o.";"Amsterdam                               ";"BU0363AC02";1210;;;;42,3;28,7;8,7;10,3
"Felix Meritisbuurt";"Amsterdam                               ";"BU0363AC03";1440;;;;41,4;26,8;8,1;11,3
"Leidsegracht-Noord";"Amsterdam                               ";"BU0363AC04";380;;;;43,4;30,9;10,1;11,8
"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"WK0363AD  ";2430;46,5;42,7;40;53,7;13,2;9,6;13,5
"Stationsplein e.o.";"Amsterdam                               ";"BU0363AD01";;;;;;;;
"Hemelrijk";"Amsterdam                               ";"BU0363AD02";350;;;;55,8;12,4;11,9;15,6
"Nieuwendijk-Noord";"Amsterdam                               ";"BU0363AD03";;;;;57,9;8,8;13,5;17,4
"Spuistraat-Noord";"Amsterdam                               ";"BU0363AD04";;;;;51,1;13,7;8,3;10,7
"Nieuwe Kerk e.o.";"Amsterdam                               ";"BU0363AD05";;;;;50,3;15,1;6,5;9,5
"Spuistraat-Zuid";"Amsterdam                               ";"BU0363AD06";;;;;53,1;15,8;11,5;16,5
"Begijnhofbuurt";"Amsterdam                               ";"BU0363AD07";;;;;59,9;9,7;8,4;16,2
"Kalverdriehoek";"Amsterdam                               ";"BU0363AD08";;;;;50,5;14,8;6,8;8,6
"Burgwallen-Oude Zijde";"Amsterdam                               ";"WK0363AE  ";2550;42,9;39,2;34,6;60,4;10,1;12,9;18,9
"Kop Zeedijk";"Amsterdam                               ";"BU0363AE01";;;;;57,4;9,5;12,3;17,7
"Oude Kerk e.o.";"Amsterdam                               ";"BU0363AE02";;;;;64,6;9,9;13,2;20,7
"Burgwallen-Oost";"Amsterdam                               ";"BU0363AE03";930;;;;63;8,6;14,1;20,7
"Nes e.o.";"Amsterdam                               ";"BU0363AE04";;;;;41,1;17,4;7,4;11,1
"BG-terrein e.o.";"Amsterdam                               ";"BU0363AE05";440;;;;64,7;11,2;13,7;19,3
"Nieuwmarkt/Lastage";"Amsterdam                               ";"WK0363AF  ";5480;52;46,2;48,5;51,1;17,9;8,5;17,3
"Oosterdokseiland";"Amsterdam                               ";"BU0363AF01";;;;;32;27,9;5,4;8,3
"Lastage";"Amsterdam                               ";"BU0363AF02";680;;;;44,8;20,1;6,8;13,4
"Scheepvaarthuisbuurt";"Amsterdam                               ";"BU0363AF03";460;;;;45,1;21,2;6,5;8
"Rapenburg";"Amsterdam                               ";"BU0363AF04";;;;;51,2;18,1;6,9;11,4
"Nieuwmarkt";"Amsterdam                               ";"BU0363AF05";660;;;;63,1;10,7;12,1;27,1
"Uilenburg";"Amsterdam                               ";"BU0363AF06";740;;;;44,9;23,2;9,9;17,7
"Valkenburg";"Amsterdam                               ";"BU0363AF07";630;;;;49;18,5;4,5;14,8
"Zuiderkerkbuurt";"Amsterdam                               ";"BU0363AF08";880;;;;56,6;16,1;11;20,9
"Waterloopleinbuurt";"Amsterdam                               ";"BU0363AF09";460;;;;52,8;15,3;7,7;17,1
"Grachtengordel-Zuid";"Amsterdam                               ";"WK0363AG  ";3040;75,3;65,1;67,8;41,7;25,3;7,8;9,3
"Leidsegracht-Zuid";"Amsterdam                               ";"BU0363AG01";450;;;;39,6;27,6;7,2;9,1
"Geelvinckbuurt";"Amsterdam                               ";"BU0363AG02";;;;;51,8;13,8;7,2;9
"Rembrandtplein e.o.";"Amsterdam                               ";"BU0363AG03";;;;;45,4;13,5;8;9,1
"Spiegelbuurt";"Amsterdam                               ";"BU0363AG04";510;;;;39,9;29,3;6,5;6,9
"Vijzelstraatbuurt";"Amsterdam                               ";"BU0363AG05";670;;;;40;30,7;7,8;9,4
