District_Type;Municipality_Name;Area_Code;Population_Total;Pop_Age_0_15;Pop_Age_15_25;Pop_Age_25_45;Pop_Age_45_65;Pop_Age_65_Plus;Avg_Household_Size;Avg_Property_Value_1000EUR;Pct_Unoccupied_Homes;Pct_Owner_Occupied;Pct_Rental;Higher_Education_Count;Avg_Income_Per_Income_Recipient_1000EUR;Avg_Income_Per_Inhabitant_1000EUR;Avg_Std_Household_Income_1000EUR;Pct_Lowest_40Pct_Income;Pct_Highest_20Pct_Income;Pct_Low_Income_Households;Pct_Below_120Pct_Social_Min;Urbanization_Level
Amsterdam;Amsterdam;GM0363;931298;122836;124148;343274;214560;126480;1,8;498.0;6.0;30.0;70.0;365670.0;46,5;38,6;40,1;49,6;17,9;9,7;18,4;1.0
Haarlemmerbuurt;Amsterdam;WK0363AA;9180;785;915;3090;2530;1865;1,6;610.0;9.0;29.0;70.0;4960.0;51,7;45,4;45,1;48,9;19;9,7;18,3;1.0
Planciusbuurt-Noord;Amsterdam;BU0363AA01;345;20;25;165;100;35;1,3;392.0;5.0;10.0;90.0;;51,7;45,4;45,1;57,8;6;11,9;20,8;1.0
Westelijke eilanden;Amsterdam;BU0363AA02;2895;275;270;920;815;610;1,6;598.0;8.0;34.0;66.0;1530.0;51,7;41,7;45,1;52,2;18,7;9,6;18;1.0
Westerdokseiland;Amsterdam;BU0363AA03;1850;205;150;540;530;420;1,8;811.0;6.0;42.0;58.0;970.0;51,7;45,4;45,1;31,6;32,4;6,6;14,8;1.0
Planciusbuurt-Zuid;Amsterdam;BU0363AA04;160;10;10;60;50;30;1,4;401.0;4.0;1.0;99.0;;51,7;45,4;45,1;75,2;2,6;22,7;36,4;1.0
Haarlemmerbuurt-West;Amsterdam;BU0363AA05;2410;175;265;835;660;475;1,5;553.0;10.0;25.0;74.0;1240.0;51,7;45,4;45,1;51,7;16;11,5;21;1.0
Haarlemmerbuurt-Oost;Amsterdam;BU0363AA06;1520;95;200;575;375;285;1,5;602.0;14.0;25.0;75.0;940.0;51,7;45,4;45,1;50,7;16;8;15,4;1.0
Jordaan;Amsterdam;WK0363AB;19685;1375;2295;7420;5110;3480;1,5;551.0;9.0;26.0;73.0;10240.0;49,8;44,4;40,7;55,2;15,1;11;19,7;1.0
Marnixbuurt-Noord;Amsterdam;BU0363AB01;1480;125;135;550;410;260;1,5;456.0;5.0;16.0;83.0;500.0;49,8;44,4;40,7;59,6;13,4;11,1;23,3;1.0
