"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Amsterdam";"Amsterdam                               ";"GM0363    ";931298;122836;124148;343274;214560;126480;1,8;498;6;30;70;;;;;;;;;1
"Haarlemmerbuurt";"Amsterdam                               ";"WK0363AA  ";9180;785;915;3090;2530;1865;1,6;610;9;29;70;;;;;;;;;1
"Planciusbuurt-Noord";"Amsterdam                               ";"BU0363AA01";345;20;25;165;100;35;1,3;392;5;10;90;;;;;;;;;1
"Westelijke eilanden";"Amsterdam                               ";"BU0363AA02";2895;275;270;920;815;610;1,6;598;8;34;66;;;;;;;;;1
"Westerdokseiland";"Amsterdam                               ";"BU0363AA03";1850;205;150;540;530;420;1,8;811;6;42;58;;;;;;;;;1
"Planciusbuurt-Zuid";"Amsterdam                               ";"BU0363AA04";160;10;10;60;50;30;1,4;401;4;1;99;;;;;;;;;1
"Haarlemmerbuurt-West";"Amsterdam                               ";"BU0363AA05";2410;175;265;835;660;475;1,5;553;10;25;74;;;;;;;;;1
"Haarlemmerbuurt-Oost";"Amsterdam                               ";"BU0363AA06";1520;95;200;575;375;285;1,5;602;14;25;75;;;;;;;;;1
"Jordaan";"Amsterdam                               ";"WK0363AB  ";19685;1375;2295;7420;5110;3480;1,5;551;9;26;73;;;;;;;;;1
"Marnixbuurt-Noord";"Amsterdam                               ";"BU0363AB01";1480;125;135;550;410;260;1,5;456;5;16;83;;;;;;;;;1
"Driehoekbuurt";"Amsterdam                               ";"BU0363AB02";2730;185;305;1080;705;455;1,4;507;9;27;73;;;;;;;;;1
"Anjeliersbuurt-Noord";"Amsterdam                               ";"BU0363AB03";2110;150;245;700;625;390;1,5;610;9;30;70;;;;;;;;;1
"Zaagpoortbuurt";"Amsterdam                               ";"BU0363AB04";945;45;135;455;220;85;1,3;364;7;16;84;;;;;;;;;1
"Anjeliersbuurt-Zuid";"Amsterdam                               ";"BU0363AB05";2950;215;325;965;875;575;1,5;549;8;26;73;;;;;;;;;1
"Marnixbuurt-Midden";"Amsterdam                               ";"BU0363AB06";200;15;25;110;35;20;1,8;590;12;46;54;;;;;;;;;1
"Bloemgrachtbuurt";"Amsterdam                               ";"BU0363AB07";3020;230;405;1155;755;480;1,5;630;12;33;66;;;;;;;;;1
"Groenmarktkadebuurt";"Amsterdam                               ";"BU0363AB08";320;20;70;175;40;25;1,5;569;12;36;64;;;;;;;;;1
"Marnixbuurt-Zuid";"Amsterdam                               ";"BU0363AB09";685;25;55;275;135;190;1,3;505;10;14;86;;;;;;;;;1
"Elandsgrachtbuurt";"Amsterdam                               ";"BU0363AB10";4310;315;500;1590;1085;820;1,5;558;11;25;75;;;;;;;;;1
"Passeerdersgrachtbuurt";"Amsterdam                               ";"BU0363AB11";935;60;90;365;225;185;1,5;674;10;37;61;;;;;;;;;1
"Grachtengordel-West";"Amsterdam                               ";"WK0363AC  ";6630;425;1000;2435;1640;1135;1,5;911;20;42;57;;;;;;;;;1
"Langestraat e.o.";"Amsterdam                               ";"BU0363AC01";1920;150;250;625;505;390;1,6;907;19;49;50;;;;;;;;;1
"Leliegracht e.o.";"Amsterdam                               ";"BU0363AC02";1875;120;330;715;425;275;1,5;901;20;40;59;;;;;;;;;1
"Felix Meritisbuurt";"Amsterdam                               ";"BU0363AC03";2120;110;305;825;535;345;1,5;878;21;39;60;;;;;;;;;1
"Leidsegracht-Noord";"Amsterdam                               ";"BU0363AC04";715;45;110;265;170;125;1,5;1051;21;42;57;;;;;;;;;1
"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"WK0363AD  ";4380;150;850;2240;775;355;1,4;520;17;20;79;;;;;;;;;1
"Stationsplein e.o.";"Amsterdam                               ";"BU0363AD01";5;0;0;0;0;0;1;;;;;;;;;;;;;1
"Hemelrijk";"Amsterdam                               ";"BU0363AD02";555;20;90;275;135;40;1,4;480;19;28;71;;;;;;;;;1
"Nieuwendijk-Noord";"Amsterdam                               ";"BU0363AD03";500;15;90;270;90;30;1,4;505;19;15;84;;;;;;;;;1
"Spuistraat-Noord";"Amsterdam                               ";"BU0363AD04";870;30;170;450;150;70;1,4;547;13;27;72;;;;;;;;;1
"Nieuwe Kerk e.o.";"Amsterdam                               ";"BU0363AD05";825;40;190;400;155;45;1,5;498;14;21;79;;;;;;;;;1
"Spuistraat-Zuid";"Amsterdam                               ";"BU0363AD06";810;30;145;410;140;80;1,4;527;16;16;83;;;;;;;;;1
"Begijnhofbuurt";"Amsterdam                               ";"BU0363AD07";475;0;80;250;65;80;1,3;498;18;8;91;;;;;;;;;1
"Kalverdriehoek";"Amsterdam                               ";"BU0363AD08";345;10;90;180;45;15;1,4;619;22;20;79;;;;;;;;;1
"Burgwallen-Oude Zijde";"Amsterdam                               ";"WK0363AE  ";4740;185;915;2250;920;470;1,4;540;16;19;81;;;;;;;;;1
"Kop Zeedijk";"Amsterdam                               ";"BU0363AE01";1185;50;185;580;265;105;1,4;476;15;21;79;;;;;;;;;1
"Oude Kerk e.o.";"Amsterdam                               ";"BU0363AE02";755;20;195;350;120;70;1,4;556;20;13;86;;;;;;;;;1
"Burgwallen-Oost";"Amsterdam                               ";"BU0363AE03";1675;75;300;805;320;175;1,4;527;15;18;82;;;;;;;;;1
"Nes e.o.";"Amsterdam                               ";"BU0363AE04";395;15;85;195;75;30;1,5;668;21;29;71;;;;;;;;;1
"BG-terrein e.o.";"Amsterdam                               ";"BU0363AE05";730;35;155;315;140;95;1,4;590;11;20;80;;;;;;;;;1
"Nieuwmarkt/Lastage";"Amsterdam                               ";"WK0363AF  ";10010;680;1335;3475;2500;2030;1,5;582;10;29;70;;;;;;;;;1
"Oosterdokseiland";"Amsterdam                               ";"BU0363AF01";555;60;35;240;155;65;1,6;832;20;46;53;;;;;;;;;1
"Lastage";"Amsterdam                               ";"BU0363AF02";1120;70;115;440;310;180;1,6;588;11;34;66;;;;;;;;;1
