buurtcode_2022,buurt_cbs_2015,buurt_cbs_2022,district_type,buurt_name,wijk_name,stadsdeel_name,municipality_name,buurt_area_m2,population_total_2020,pop_age_0_15_2020,pop_age_15_25_2020,pop_age_25_45_2020,pop_age_45_65_2020,pop_age_65_plus_2020,avg_household_size_2020,woz_value_2020,pct_unoccupied_2020,pct_owner_occupied_2020,pct_rental_2020,n_high_education_2020,income_recipient_2020,income_inhabitant_2020,income_household_2020,pct_bottom40_2020,pct_top20_2020,pct_low_income_2020,pct_below_120pct_social_min_2020,urbanicity_2020,supermarkets_1km_2020,food_shops_1km_2020,cafes_1km_2020,cafeterias_1km_2020,restaurants_1km_2020,dist_primary_school_2020,dist_secondary_school_2020,dist_train_station_2020,dist_nearest_green_2020,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,total_green_area_m2_2020,green_coverage_pct_2020,num_green_spaces_2020,population_total_2024,pop_age_0_15_2024,pop_age_15_25_2024,pop_age_25_45_2024,pop_age_45_65_2024,pop_age_65_plus_2024,avg_household_size_2024,woz_value_2024,pct_unoccupied_2024,pct_owner_occupied_2024,pct_rental_2024,n_high_education_2024,income_recipient_2024,income_inhabitant_2024,income_household_2024,pct_bottom40_2024,pct_top20_2024,pct_low_income_2024,pct_below_120pct_social_min_2024,urbanicity_2024,supermarkets_1km_2024,food_shops_1km_2024,cafes_1km_2024,cafeterias_1km_2024,restaurants_1km_2024,dist_primary_school_2024,dist_secondary_school_2024,dist_train_station_2024,dist_nearest_green_2024,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2024,green_coverage_pct_2024,num_green_spaces_2024,population_change,woz_change,income_household_change,pct_bottom40_change,pct_top20_change,pct_low_income_change,green_coverage_change,dist_green_change,n_high_education_change,is_eligible,woz_growth_pct,income_growth_pct,education_growth_abs,upgrading_criteria_met,gentrified
AE01,BU03630000,BU0363AE01,Kop Zeedijk,Kop Zeedijk,Burgwallen-Oude Zijde,Centrum,Amsterdam,80480.24,1100,50,125,575,275,75,1.4,423.0,21.0,20.0,78.0,670.0,40.7,37.0,31.6,54.7,12.1,12.3,14.9,1.0,10.6,140.7,181.2,202.7,295.7,0.4,1.1,0.4,672.69,Unnamed,forest,522.33,0.0,0.0,0.0,1185,50,185,580,265,105,1.4,476.0,15.0,21.0,79.0,610.0398389037668,42.9,39.2,34.6,57.4,9.5,12.3,17.7,1.0,5.9,54.4,100.8,94.5,175.1,0.8,1.8,1.0,442.07,Unnamed,park,353.96,0.0,0.0,0.0,85,53.0,3.0,2.699999999999996,-2.6,0.0,0.0,-230.6200000000001,-59.96016109623315,0,0.12529550827423167,0.09493670886075949,-59.96016109623315,0,0
AE02,BU03630001,BU0363AE02,Oude Kerk e.o.,Oude Kerk e.o.,Burgwallen-Oude Zijde,Centrum,Amsterdam,92625.76,730,30,130,370,130,70,1.3,440.0,22.0,12.0,86.0,290.0,34.7,31.5,26.6,68.5,9.5,16.4,23.0,1.0,11.0,154.4,202.7,242.5,330.2,0.5,1.3,0.7,857.71,Unnamed,forest,522.33,0.0,0.0,0.0,755,20,195,350,120,70,1.4,556.0,20.0,13.0,86.0,451.8005434805253,42.9,39.2,34.6,64.6,9.9,13.2,20.7,1.0,5.6,62.5,91.8,95.9,158.2,1.1,1.8,1.4,396.3,Unnamed,park,353.96,0.0,0.0,0.0,25,116.0,8.0,-3.9000000000000057,0.4000000000000003,-3.1999999999999997,0.0,-461.41,161.80054348052528,0,0.2636363636363636,0.3007518796992481,161.80054348052528,1,0
AE03,BU03630002,BU0363AE03,Burgwallen Oost,Burgwallen-Oost,Burgwallen-Oude Zijde,Centrum,Amsterdam,72478.68,1615,90,255,780,310,175,1.4,466.0,15.0,17.0,83.0,890.0,32.4,29.2,26.3,63.8,9.3,13.9,20.1,1.0,12.0,143.8,204.7,243.3,330.4,0.4,1.4,0.8,672.5,Unnamed,forest,522.33,0.0,0.0,0.0,1675,75,300,805,320,175,1.4,527.0,15.0,18.0,82.0,930.0,42.9,39.2,34.6,63.0,8.6,14.1,20.7,1.0,7.0,59.7,103.3,98.2,183.6,0.7,1.9,1.2,189.17,Unnamed,park,353.96,0.0,0.0,0.0,60,61.0,8.3,-0.7999999999999972,-0.7000000000000011,0.1999999999999993,0.0,-483.33,40.0,0,0.13090128755364808,0.31558935361216733,40.0,1,0
AE04,BU03630003,BU0363AE04,Nes e.o.,Nes e.o.,Burgwallen-Oude Zijde,Centrum,Amsterdam,57837.9,350,20,55,180,70,25,1.4,580.0,29.0,29.0,70.0,230.0,40.7,37.1,33.5,50.2,18.6,8.9,9.4,1.0,13.3,160.8,228.4,261.1,375.3,0.8,1.4,1.0,954.89,Weesperplantsoen,park,1512.39,0.0,0.0,0.0,395,15,85,195,75,30,1.5,668.0,21.0,29.0,71.0,221.53388091599143,42.9,39.2,34.6,41.1,17.4,7.4,11.1,1.0,7.4,89.0,88.4,112.1,164.9,1.3,1.7,1.7,523.35,Unnamed,park,353.96,0.0,0.0,0.0,45,88.0,1.1000000000000014,-9.1,-1.2000000000000028,-1.5,0.0,-431.54,-8.466119084008568,0,0.15172413793103448,0.03283582089552243,-8.466119084008568,0,0
AE05,BU03630004,BU0363AE05,BG-terrein e.o.,BG-terrein e.o.,Burgwallen-Oude Zijde,Centrum,Amsterdam,101280.11,675,35,125,285,145,75,1.4,532.0,15.0,21.0,78.0,440.0,37.6,33.8,27.6,64.7,11.0,11.8,17.6,1.0,12.9,149.7,228.0,242.7,370.2,0.7,1.5,1.1,765.91,Weesperplantsoen,park,1512.39,0.0,0.0,0.0,730,35,155,315,140,95,1.4,590.0,11.0,20.0,80.0,440.0,42.9,39.2,34.6,64.7,11.2,13.7,19.3,1.0,8.2,89.6,118.5,122.3,220.4,0.9,1.8,1.6,468.5,Unnamed,park,353.96,0.0,0.0,0.0,55,58.0,7.0,0.0,0.1999999999999993,1.8999999999999984,0.0,-297.41,0.0,0,0.10902255639097744,0.25362318840579706,0.0,0,0
AD01,BU03630100,BU0363AD01,Stationsplein e.o.,Stationsplein e.o.,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,260425.27,0,0,0,0,0,0,1.0,798.1185834425492,26.54139445762691,44.00523389447609,55.9947661055239,31.349371985761177,41.6,38.0,33.0,55.0,14.3,10.5,15.0,1.0,2.172168162229132,11.801072584005391,5.598378053860555,9.509283999372602,16.03355237624205,1.6452629497902538,1.6978778777237564,2.808670945707009,358.22,Unnamed,forest,137.28,0.0,0.0,0.0,5,0,0,0,0,0,1.0,798.3566283029207,28.4735689316958,44.17882165142996,55.82117834857002,31.26942009497703,46.5,42.7,40.0,53.7,13.2,9.6,13.5,1.0,2.8070205913342474,15.150608151529074,7.0111473243452815,12.386563980779108,22.89878875862611,0.9229215044584168,0.8706232402003758,2.379101516178162,457.02,Unnamed,forest,392.3,0.0,0.0,0.0,5,0.2380448603715876,7.0,-1.2999999999999972,-1.1000000000000014,-0.9000000000000004,0.0,98.79999999999995,-0.0799518907841481,0,0.00029825750873362897,0.21212121212121213,-0.0799518907841481,0,0
AD02,BU03630101,BU0363AD02,Hemelrijk,Hemelrijk,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,62955.8,575,25,85,315,115,40,1.4,441.0,16.0,28.0,70.0,330.0,42.4,39.3,33.1,53.4,13.7,9.4,12.7,1.0,8.1,159.0,166.5,207.8,306.1,0.6,0.6,0.5,782.52,Unnamed,forest,137.28,0.0,0.0,0.0,555,20,90,275,135,40,1.4,480.0,19.0,28.0,71.0,350.0,46.5,42.7,40.0,55.8,12.4,11.9,15.6,1.0,2.1,41.5,34.7,46.6,72.9,0.9,1.0,1.5,534.94,Unnamed,forest,86.55,0.0,0.0,0.0,-20,39.0,6.899999999999999,2.3999999999999986,-1.299999999999999,2.5,0.0,-247.57999999999996,20.0,0,0.08843537414965986,0.20845921450151053,20.0,0,0
AD03,BU03630102,BU0363AD03,Nieuwendijk Noord,Nieuwendijk-Noord,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,65989.96,460,15,80,255,95,20,1.4,472.0,22.0,17.0,82.0,230.0,39.2,35.8,31.1,62.4,13.1,13.4,16.0,1.0,7.8,147.0,174.8,208.2,290.3,0.8,0.9,0.5,743.97,Unnamed,forest,137.28,0.0,0.0,0.0,500,15,90,270,90,30,1.4,505.0,19.0,15.0,84.0,283.5846868000526,46.5,42.7,40.0,57.9,8.8,13.5,17.4,1.0,4.1,50.5,49.2,73.4,92.1,1.4,1.6,1.6,626.4,Unnamed,park,353.96,0.0,0.0,0.0,40,33.0,8.899999999999999,-4.5,-4.299999999999999,0.0999999999999996,0.0,-117.57000000000004,53.58468680005262,0,0.06991525423728813,0.2861736334405144,53.58468680005262,0,0
AD04,BU03630103,BU0363AD04,Spuistraat Noord,Spuistraat-Noord,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,56817.83,825,35,110,450,160,70,1.4,489.0,16.0,27.0,72.0,420.0,40.6,37.1,33.6,52.8,15.4,9.9,14.0,1.0,9.4,173.1,172.3,230.2,326.3,0.6,0.9,0.8,875.69,Unnamed,park,81.6,0.0,0.0,0.0,870,30,170,450,150,70,1.4,547.0,13.0,27.0,72.0,461.907747429577,46.5,42.7,40.0,51.1,13.7,8.3,10.7,1.0,4.7,68.6,58.7,83.6,126.1,1.1,1.2,1.8,764.4,Unnamed,park,353.96,0.0,0.0,0.0,45,58.0,6.399999999999999,-1.6999999999999955,-1.700000000000001,-1.5999999999999996,0.0,-111.29000000000008,41.907747429577,0,0.11860940695296524,0.19047619047619044,41.907747429577,0,0
AD05,BU03630104,BU0363AD05,Nieuwe Kerk e.o.,Nieuwe Kerk e.o.,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,84154.79,820,50,130,460,135,45,1.5,458.0,17.0,23.0,76.0,450.0,40.0,36.0,33.2,52.9,14.8,8.4,11.8,1.0,9.2,162.7,188.2,235.7,321.9,1.0,1.1,0.8,1029.49,Unnamed,park,81.6,0.0,0.0,0.0,825,40,190,400,155,45,1.5,498.0,14.0,21.0,79.0,413.1501102854713,46.5,42.7,40.0,50.3,15.1,6.5,9.5,1.0,3.8,62.1,60.5,88.0,120.8,1.2,1.4,1.4,609.73,Unnamed,park,353.96,0.0,0.0,0.0,5,40.0,6.799999999999997,-2.6000000000000014,0.2999999999999989,-1.9000000000000004,0.0,-419.76,-36.84988971452867,0,0.08733624454148471,0.20481927710843364,-36.84988971452867,0,0
