BUURTCODE_2015,BUURTCODE_CBS_2015,BUURTNAAM_2015,BUURTCODE_2022,BUURTCODE_CBS_2022,BUURTNAAM_2022,WIJKCODE_2022,WIJKNAAM_2022,STADSDEELCODE,STADSDEELNAAM,latitude,longitude,geometrie
A00a,BU03630000,Kop Zeedijk,AE01,BU0363AE01,Kop Zeedijk,AE,Burgwallen-Oude Zijde,A,Centrum,52.37592923315652,4.900262005689889,"SRID=28992;POLYGON ((121978.387 487695.921, 121908.361 487477.41, 121862.235 487503.166, 121854.979 487504.962, 121841.076 487512.578, 121836.051 487513.129, 121799.802 487534.283, 121782.088 487542.257, 121770.331 487546.797, 121686.76 487597.282, 121679.133 487588.652, 121624.24 487627.482, 121765.686 487789.662, 121803.466 487826.305, 121890.334 487818.897, 121957.842 487818.675, 121991.303 487807.034, 122026.815 487756.566, 122045.505 487745.336, 121978.387 487695.921))"
A00b,BU03630001,Oude Kerk e.o.,AE02,BU0363AE02,Oude Kerk e.o.,AE,Burgwallen-Oude Zijde,A,Centrum,52.37379113432296,4.896141981893308,"SRID=28992;POLYGON ((121755.15 487500.761, 121735.158 487472.162, 121606.903 487312.599, 121539.554 487222.451, 121467.922 487260.667, 121401.093 487298.637, 121345.067 487317.97, 121365.082 487372.785, 121383.373 487404.737, 121438.225 487468.721, 121583.159 487656.542, 121624.24 487627.482, 121679.133 487588.652, 121686.76 487597.282, 121770.331 487546.797, 121782.088 487542.257, 121755.15 487500.761))"
A00c,BU03630002,Burgwallen Oost,AE03,BU0363AE03,Burgwallen-Oost,AE,Burgwallen-Oude Zijde,A,Centrum,52.37281724575043,4.898735893551947,"SRID=28992;POLYGON ((121869.478 487349.071, 121858.841 487352.093, 121846.39 487351.126, 121838.05 487348.225, 121832.489 487343.753, 121827.896 487337.346, 121799.368 487274.248, 121798.039 487266.995, 121810.93 487261.094, 121772.194 487189.407, 121734.944 487124.933, 121620.093 487175, 121539.554 487222.451, 121606.903 487312.599, 121735.158 487472.162, 121755.15 487500.761, 121782.088 487542.257, 121799.802 487534.283, 121836.051 487513.129, 121841.076 487512.578, 121854.979 487504.962, 121862.235 487503.166, 121908.361 487477.41, 121885.329 487401.961, 121869.478 487349.071))"
A00d,BU03630003,Nes e.o.,AE04,BU0363AE04,Nes e.o.,AE,Burgwallen-Oude Zijde,A,Centrum,52.37085943181532,4.893709562162045,"SRID=28992;POLYGON ((121493.343 487160.37, 121476.514 487132.845, 121467.33 487115.925, 121462.344 487100.835, 121427.729 486930.643, 121387.057 486929.406, 121376.522 486925.047, 121300.154 486914.837, 121274.417 486911.719, 121276.925 486929.415, 121306.383 487044.42, 121311.178 487066.942, 121330.017 487183.147, 121332.843 487212.605, 121336.012 487280.854, 121338.838 487302.092, 121342.603 487318.149, 121345.067 487317.97, 121401.093 487298.637, 121467.922 487260.667, 121539.554 487222.451, 121493.343 487160.37))"
A00e,BU03630004,BG-terrein e.o.,AE05,BU0363AE05,BG-terrein e.o.,AE,Burgwallen-Oude Zijde,A,Centrum,52.36953972729665,4.895578256847466,"SRID=28992;POLYGON ((121570.358 486848.056, 121561.071 486825.241, 121530.353 486772.016, 121508.898 486737.271, 121501.871 486729.117, 121494.772 486722.925, 121480.023 486718.867, 121464.917 486716.449, 121430.313 486714.412, 121418.374 486714.615, 121333.629 486831.236, 121303.056 486901.772, 121300.154 486914.837, 121376.522 486925.047, 121387.057 486929.406, 121427.729 486930.643, 121462.344 487100.835, 121467.33 487115.925, 121476.514 487132.845, 121493.343 487160.37, 121539.554 487222.451, 121620.093 487175, 121734.944 487124.933, 121570.358 486848.056))"
A01a,BU03630100,Stationsplein e.o.,AD01,BU0363AD01,Stationsplein e.o.,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37965036061024,4.900717578470607,"SRID=28992;POLYGON ((122116.843 487894.361, 122065.791 487810.091, 122045.505 487745.336, 122026.815 487756.566, 121991.303 487807.034, 121957.842 487818.675, 121890.334 487818.897, 121803.466 487826.305, 121747.659 487875.441, 121734.248 487905.726, 121727.121 487918.014, 121719.025 487929.686, 121693.42 487960.834, 121684.49 487969.068, 121669.763 487980.186, 121657.239 487989.479, 121517.787 488112.276, 121541.049 488144.162, 121599.63 488245.738, 121745.144 488457.275, 121792.93 488403.082, 121832.176 488366.036, 121853.001 488346.377, 121908.281 488299.646, 121970.138 488258.368, 121981.428 488250.834, 122049.267 488210.959, 122120.496 488175.947, 122199.444 488146.487, 122235.462 488135.418, 122262.93 488127.922, 122116.843 487894.361))"
A01b,BU03630101,Hemelrijk,AD02,BU0363AD02,Hemelrijk,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37814474293715,4.8949125227031,"SRID=28992;POLYGON ((121613.526 487905.297, 121549.296 487882.391, 121542.195 487878.624, 121535.213 487873.583, 121529.404 487868.028, 121523.953 487861.214, 121490.974 487811.037, 121481.468 487799.225, 121468.412 487785.563, 121444.242 487765.884, 121429.006 487751.656, 121285.104 487799.643, 121411.065 487983.95, 121417.25 487991.741, 121440.423 488020.934, 121498.971 488086.629, 121517.787 488112.276, 121657.239 487989.479, 121669.763 487980.186, 121613.526 487905.297))"
A01c,BU03630102,Nieuwendijk-Noord,AD03,BU0363AD03,Nieuwendijk-Noord,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37700006421899,4.896955839671074,"SRID=28992;POLYGON ((121765.686 487789.662, 121624.24 487627.482, 121583.159 487656.542, 121569.063 487662.725, 121530.847 487687.118, 121525.482 487696.056, 121515.289 487700.607, 121506.433 487703.463, 121489.953 487706.364, 121386.644 487708.78, 121429.006 487751.656, 121444.242 487765.884, 121468.412 487785.563, 121481.468 487799.225, 121490.974 487811.037, 121523.953 487861.214, 121529.404 487868.028, 121535.213 487873.583, 121542.195 487878.624, 121549.296 487882.391, 121613.526 487905.297, 121669.763 487980.186, 121684.49 487969.068, 121693.42 487960.834, 121719.025 487929.686, 121727.121 487918.014, 121734.248 487905.726, 121747.659 487875.441, 121803.466 487826.305, 121765.686 487789.662))"
A01d,BU03630103,Spuistraat-Noord,AD04,BU0363AD04,Spuistraat-Noord,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.37513981984903,4.8911874301193565,"SRID=28992;POLYGON ((121308.973 487624.426, 121282.839 487594.949, 121273.509 487581.904, 121261.278 487559.698, 121233.417 487512.919, 121204.906 487461.82, 121200.883 487450.88, 121184.814 487395.298, 121180.518 487371.117, 121062.5 487381.508, 121066.249 487401.458, 121090.828 487498.022, 121093.908 487515.044, 121119.378 487554.701, 121223.065 487706.594, 121232.3 487721.305, 121285.104 487799.643, 121429.006 487751.656, 121386.644 487708.78, 121308.973 487624.426))"
A01e,BU03630104,Nieuwe Kerk e.o.,AD05,BU0363AD05,Nieuwe Kerk e.o.,AD,Burgwallen-Nieuwe Zijde,A,Centrum,52.374510977656186,4.893213130342648,"SRID=28992;POLYGON ((121438.225 487468.721, 121383.373 487404.737, 121365.082 487372.785, 121345.067 487317.97, 121342.603 487318.149, 121284.83 487322.353, 121259.342 487320.585, 121233.337 487320.058, 121181.182 487312.011, 121179.256 487345.803, 121180.518 487371.117, 121184.814 487395.298, 121200.883 487450.88, 121204.906 487461.82, 121233.417 487512.919, 121261.278 487559.698, 121273.509 487581.904, 121282.839 487594.949, 121308.973 487624.426, 121386.644 487708.78, 121489.953 487706.364, 121506.433 487703.463, 121515.289 487700.607, 121525.482 487696.056, 121530.847 487687.118, 121569.063 487662.725, 121583.159 487656.542, 121438.225 487468.721))"
