BUURTCODE_2022,BUURTNAAM_2022,WIJKNAAM_2022,STADSDEELNAAM,buurt_area_m2,distance_to_nearest_green_m_2020,distance_to_nearest_green_m_2024,distance_change_m,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2020,total_green_area_m2_2024,green_coverage_percent_2020,green_coverage_percent_2024,coverage_change_percent,num_green_spaces_2020,num_green_spaces_2024
AE01,Kop Zeedijk,Burgwallen-Oude Zijde,Centrum,80480.24,672.69,442.07,-230.6200000000001,Unnamed,forest,522.33,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AE02,Oude Kerk e.o.,Burgwallen-Oude Zijde,Centrum,92625.76,857.71,396.3,-461.41,Unnamed,forest,522.33,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AE03,Burgwallen-Oost,Burgwallen-Oude Zijde,Centrum,72478.68,672.5,189.17,-483.33,Unnamed,forest,522.33,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AE04,Nes e.o.,Burgwallen-Oude Zijde,Centrum,57837.9,954.89,523.35,-431.54,Weesperplantsoen,park,1512.39,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AE05,BG-terrein e.o.,Burgwallen-Oude Zijde,Centrum,101280.11,765.91,468.5,-297.41,Weesperplantsoen,park,1512.39,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AD01,Stationsplein e.o.,Burgwallen-Nieuwe Zijde,Centrum,260425.27,358.22,457.02,98.79999999999995,Unnamed,forest,137.28,Unnamed,forest,392.3,0.0,0.0,0.0,0.0,0.0,0,0
AD02,Hemelrijk,Burgwallen-Nieuwe Zijde,Centrum,62955.8,782.52,534.94,-247.57999999999996,Unnamed,forest,137.28,Unnamed,forest,86.55,0.0,0.0,0.0,0.0,0.0,0,0
AD03,Nieuwendijk-Noord,Burgwallen-Nieuwe Zijde,Centrum,65989.96,743.97,626.4,-117.57000000000004,Unnamed,forest,137.28,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AD04,Spuistraat-Noord,Burgwallen-Nieuwe Zijde,Centrum,56817.83,875.69,764.4,-111.29000000000008,Unnamed,park,81.6,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AD05,Nieuwe Kerk e.o.,Burgwallen-Nieuwe Zijde,Centrum,84154.79,1029.49,609.73,-419.76,Unnamed,park,81.6,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AD06,Spuistraat-Zuid,Burgwallen-Nieuwe Zijde,Centrum,67108.13,1014.78,821.49,-193.29,Unnamed,park,175.55,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AD07,Begijnhofbuurt,Burgwallen-Nieuwe Zijde,Centrum,70609.69,1082.74,688.69,-394.05,Weesperplantsoen,park,1512.39,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AD08,Kalverdriehoek,Burgwallen-Nieuwe Zijde,Centrum,60386.69,909.69,810.57,-99.12,Leidsebosje,park,4551.86,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AC01,Langestraat e.o.,Grachtengordel-West,Centrum,123308.57,742.2,498.14,-244.0600000000001,Unnamed,park,81.6,Unnamed,forest,156.28,0.0,0.0,0.0,0.0,0.0,0,0
AC02,Leliegracht e.o.,Grachtengordel-West,Centrum,173446.55,601.19,601.13,-0.0600000000000591,Unnamed,park,81.6,Unnamed,park,191.74,0.0,0.0,0.0,0.0,0.0,0,0
AC03,Felix Meritisbuurt,Grachtengordel-West,Centrum,203160.27,828.18,731.01,-97.16999999999996,Unnamed,park,175.55,Tweede Marnixplantsoen,park,2262.82,0.0,0.0,0.0,0.0,0.0,0,0
AC04,Leidsegracht-Noord,Grachtengordel-West,Centrum,69128.8,574.9,574.9,0.0,Leidsebosje,park,4551.86,Leidsebosje,park,4551.86,0.0,0.0,0.0,0.0,0.0,0,0
AG04,Spiegelbuurt,Grachtengordel-Zuid,Centrum,94261.43,515.13,515.13,0.0,Leidsebosje,park,4333.05,Leidsebosje,park,4333.05,0.0,0.0,0.0,0.0,0.0,0,0
AG06,Amstelveldbuurt,Grachtengordel-Zuid,Centrum,147839.43,301.95,303.1,1.150000000000034,Unnamed,forest,872.32,Unnamed,forest,1002.33,0.0,0.0,0.0,0.0,0.0,0,0
AF01,Oosterdokseiland,Nieuwmarkt/Lastage,Centrum,242948.12,480.89,288.83,-192.06,Unnamed,park,154.42,Unnamed,forest,87.43,0.0,0.0,0.0,0.0,0.0,0,0
AF03,Scheepvaarthuisbuurt,Nieuwmarkt/Lastage,Centrum,107781.37,237.89,237.79,-0.0999999999999943,Unnamed,forest,522.33,Unnamed,forest,524.83,0.0,0.0,0.0,0.0,0.0,0,0
AF04,Rapenburg,Nieuwmarkt/Lastage,Centrum,165949.98,145.16,145.29,0.1299999999999954,Unnamed,forest,522.33,Unnamed,forest,524.83,522.33,524.83,0.31,0.32,0.01,1,1
AF02,Lastage,Nieuwmarkt/Lastage,Centrum,77804.13,388.7,249.96,-138.73999999999998,Unnamed,forest,522.33,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
