"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"921";"GM0363    ";"Amsterdam                               ";"GM0363    ";"     5.6";"    32.0";"    19.1";"    28.0";"    52.8";"     0.5";"     0.9";"     2.5"
"922";"WK036300  ";"Amsterdam                               ";"WK036300  ";"    11.7";"   147.0";"   204.0";"   234.5";"   331.3";"     0.5";"     1.3";"     0.7"
"923";"BU03630000";"Amsterdam                               ";"BU03630000";"    10.6";"   140.7";"   181.2";"   202.7";"   295.7";"     0.4";"     1.1";"     0.4"
"924";"BU03630001";"Amsterdam                               ";"BU03630001";"    11.0";"   154.4";"   202.7";"   242.5";"   330.2";"     0.5";"     1.3";"     0.7"
"925";"BU03630002";"Amsterdam                               ";"BU03630002";"    12.0";"   143.8";"   204.7";"   243.3";"   330.4";"     0.4";"     1.4";"     0.8"
"926";"BU03630003";"Amsterdam                               ";"BU03630003";"    13.3";"   160.8";"   228.4";"   261.1";"   375.3";"     0.8";"     1.4";"     1.0"
"927";"BU03630004";"Amsterdam                               ";"BU03630004";"    12.9";"   149.7";"   228.0";"   242.7";"   370.2";"     0.7";"     1.5";"     1.1"
"928";"WK036301  ";"Amsterdam                               ";"WK036301  ";"     9.7";"   162.7";"   183.7";"   229.4";"   323.9";"     0.8";"     0.9";"     0.9"
"929";"BU03630100";"Amsterdam                               ";"BU03630100";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"930";"BU03630101";"Amsterdam                               ";"BU03630101";"     8.1";"   159.0";"   166.5";"   207.8";"   306.1";"     0.6";"     0.6";"     0.5"
"931";"BU03630102";"Amsterdam                               ";"BU03630102";"     7.8";"   147.0";"   174.8";"   208.2";"   290.3";"     0.8";"     0.9";"     0.5"
"932";"BU03630103";"Amsterdam                               ";"BU03630103";"     9.4";"   173.1";"   172.3";"   230.2";"   326.3";"     0.6";"     0.9";"     0.8"
"933";"BU03630104";"Amsterdam                               ";"BU03630104";"     9.2";"   162.7";"   188.2";"   235.7";"   321.9";"     1.0";"     1.1";"     0.8"
"934";"BU03630105";"Amsterdam                               ";"BU03630105";"    11.3";"   178.0";"   201.3";"   252.5";"   355.1";"     0.8";"     1.0";"     1.2"
"935";"BU03630106";"Amsterdam                               ";"BU03630106";"    11.8";"   163.9";"   212.1";"   255.3";"   359.7";"     1.0";"     1.2";"     1.1"
"936";"BU03630107";"Amsterdam                               ";"BU03630107";"    10.9";"   127.7";"   168.6";"   194.4";"   285.4";"     0.9";"     1.2";"     1.4"
