"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1170";"GM0363    ";"Amsterdam                               ";"GM0363    ";"     3.8";"    19.5";"     9.8";"    14.6";"    34.4";"     0.6";"     1.1";"     2.9"
"1171";"WK0363AA  ";"Amsterdam                               ";"WK0363AA  ";"     3.9";"    34.9";"    22.6";"    22.3";"    59.1";"     0.6";"     0.7";"     1.7"
"1172";"BU0363AA01";"Amsterdam                               ";"BU0363AA01";"     5.7";"    36.0";"    19.9";"    15.4";"    53.7";"     0.5";"     0.9";"     2.2"
"1173";"BU0363AA02";"Amsterdam                               ";"BU0363AA02";"     3.0";"    19.3";"     9.3";"    12.4";"    28.7";"     0.4";"     1.1";"     2.1"
"1174";"BU0363AA03";"Amsterdam                               ";"BU0363AA03";"     1.8";"    16.0";"    14.0";"    14.8";"    32.4";"     1.1";"     0.7";"     1.3"
"1175";"BU0363AA04";"Amsterdam                               ";"BU0363AA04";"     8.1";"    54.5";"    31.2";"    25.6";"    96.7";"     0.8";"     0.9";"     2.1"
"1176";"BU0363AA05";"Amsterdam                               ";"BU0363AA05";"     5.7";"    53.7";"    31.1";"    27.2";"    83.9";"     0.7";"     0.4";"     1.7"
"1177";"BU0363AA06";"Amsterdam                               ";"BU0363AA06";"     4.3";"    55.2";"    44.4";"    43.5";"   107.1";"     0.4";"     0.3";"     1.4"
"1178";"WK0363AB  ";"Amsterdam                               ";"WK0363AB  ";"     6.8";"    67.2";"    51.2";"    45.1";"   139.1";"     0.6";"     0.7";"     2.4"
"1179";"BU0363AB01";"Amsterdam                               ";"BU0363AB01";"     8.2";"    65.4";"    39.2";"    29.5";"   112.6";"     0.9";"     0.7";"     2.2"
"1180";"BU0363AB02";"Amsterdam                               ";"BU0363AB02";"     6.0";"    64.8";"    37.8";"    29.2";"   108.6";"     0.8";"     0.6";"     1.9"
"1181";"BU0363AB03";"Amsterdam                               ";"BU0363AB03";"     4.9";"    60.2";"    38.6";"    27.4";"   106.4";"     0.7";"     0.7";"     2.0"
