buurtcode_2022,buurt_name,stadsdeel_name,risk_prediction_2028,risk_probability_2028
AE01,Kop Zeedijk,Centrum,0,0.06745639082887164
AE02,Oude Kerk e.o.,Centrum,0,0.06745641831161467
AE03,Burgwallen-Oost,Centrum,0,0.06745641820869089
AE04,Nes e.o.,Centrum,0,0.06745642682006671
AE05,BG-terrein e.o.,Centrum,0,0.06745641831161467
AD01,Stationsplein e.o.,Centrum,0,0.06744927095960956
AD02,Hemelrijk,Centrum,0,0.06745639206118184
AD03,Nieuwendijk-Noord,Centrum,0,0.06745641142587024
AD04,Spuistraat-Noord,Centrum,0,0.06745638324716345
AD05,Nieuwe Kerk e.o.,Centrum,0,0.06745637678011455
AD06,Spuistraat-Zuid,Centrum,0,0.06745637761600433
AD07,Begijnhofbuurt,Centrum,0,0.06745640919696466
AD08,Kalverdriehoek,Centrum,0,0.06745644771314255
AC01,Langestraat e.o.,Centrum,0,0.06745287978198507
AC02,Leliegracht e.o.,Centrum,0,0.06745244125796378
AC03,Felix Meritisbuurt,Centrum,0,0.06745244125796378
AC04,Leidsegracht-Noord,Centrum,0,0.06745244524932233
AG04,Spiegelbuurt,Centrum,0,0.06745360094510296
AG06,Amstelveldbuurt,Centrum,0,0.06744228596565875
AG01,Leidsegracht-Zuid,Centrum,0,0.06745247207867905
AF01,Oosterdokseiland,Centrum,0,0.06745232011918077
AF03,Scheepvaarthuisbuurt,Centrum,0,0.06745647449785834
AF04,Rapenburg,Centrum,0,0.06745640266209095
AF02,Lastage,Centrum,0,0.06745637307706863
AF05,Nieuwmarkt,Centrum,0,0.06742066831570259
AF06,Uilenburg,Centrum,0,0.0674563991870357
AF07,Valkenburg,Centrum,0,0.06747857623944986
AF08,Zuiderkerkbuurt,Centrum,0,0.0674564226985485
AF09,Waterloopleinbuurt,Centrum,0,0.06745637190136744
AA03,Westerdokseiland,Centrum,0,0.06745753809853121
AA06,Haarlemmerbuurt-Oost,Centrum,0,0.0674563728999723
AA05,Haarlemmerbuurt-West,Centrum,0,0.06745624798035835
AA02,Westelijke eilanden,Centrum,0,0.06745618392265237
AA01,Planciusbuurt-Noord,Centrum,0,0.13936516395846152
AA04,Planciusbuurt-Zuid,Centrum,0,0.06700139608954875
AB02,Driehoekbuurt,Centrum,0,0.06745621756720753
AB07,Bloemgrachtbuurt,Centrum,0,0.06745617729685605
AB01,Marnixbuurt-Noord,Centrum,0,0.06742089785347741
AB04,Zaagpoortbuurt,Centrum,0,0.13880194573357374
AB06,Marnixbuurt-Midden,Centrum,0,0.06748156654023324
AB10,Elandsgrachtbuurt,Centrum,0,0.06744769075818874
AB11,Passeerdersgrachtbuurt,Centrum,0,0.06744762330333937
AB08,Groenmarktkadebuurt,Centrum,0,0.06745894988428565
AB09,Marnixbuurt-Zuid,Centrum,0,0.067449940026961
AB03,Anjeliersbuurt-Noord,Centrum,0,0.06745636934607646
AB05,Anjeliersbuurt-Zuid,Centrum,0,0.06745622043756536
AH01,Leidsebuurt-Noordwest,Centrum,0,0.0674591393041633
AH05,Leidsebuurt-Zuidwest,Centrum,0,0.0674748359997792
AH02,Leidsebuurt-Noordoost,Centrum,0,0.06744768884939463
AH06,Leidsebuurt-Zuidoost,Centrum,0,0.06747488132478993
AH03,Weteringbuurt,Centrum,0,0.06745006350692918
AH07,Den Texbuurt,Centrum,0,0.06745764470814541
AH04,Utrechtsebuurt-Zuid,Centrum,0,0.0674565520718651
AH08,Frederikspleinbuurt,Centrum,0,0.06745250430746666
AJ01,Weesperbuurt,Centrum,0,0.0674562802924949
AJ03,Sarphatistrook,Centrum,0,0.06745631610433199
AJ02,Plantage,Centrum,0,0.06745914729104778
AJ04,Alexanderplein e.o.,Centrum,0,0.06745703493596684
AK01,Marine-Etablissement,Centrum,0,0.0674248372744348
AK02,Kattenburg,Centrum,0,0.06738708064835518
AK03,Wittenburg,Centrum,0,0.06745919139877342
AK04,Oostenburg,Centrum,0,0.0674567476801454
AK05,Czaar Peterbuurt,Centrum,0,0.0674219188750332
AK06,Het Funen,Centrum,0,0.06745739518114567
AK08,Kazernebuurt,Centrum,0,0.06742081451983817
AK07,Kadijken,Centrum,0,0.06745637649850131
BA04,Petroleumhaven,Westpoort,0,0.06741237971011958
BA03,Westhaven-Noord,Westpoort,0,0.06744763172931663
BA05,Vervoerscentrum,Westpoort,0,0.06741237971011958
BA02,Amerikahaven,Westpoort,0,0.0674477065154677
BA01,Afrikahaven,Westpoort,0,0.06744768550918327
BA06,Westhaven-Zuid,Westpoort,0,0.06744632852547172
FA01,Sloterdijk De Heining,Nieuw-West,0,0.06793311158510623
FA08,Sloterdijk Stationskwartier,Nieuw-West,1,0.6091383128428055
FA07,Bretten-Oost,Nieuw-West,0,0.060689890319617974
FA06,Bretten-West,Nieuw-West,0,0.07557912966201971
EC01,Houthavens-West,West,0,0.06726450866340643
EC02,Houthavens-Oost,West,0,0.06745750260831926
EB08,Zeeheldenbuurt,West,0,0.06742088576408528
